order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,revenue,month
O712157,C00372,P0015,3.0,17.09,2025-07-06,cancelled,Credit Card,East,0.0,51.269999999999996,2025-07
O622429,C00056,P0016,1.0,45.87,2025-07-06,delayed,Credit Card,Central,0.15,38.9895,2025-07
O429017,C00131,P0028,5.0,24.03,2025-07-06,delivered,Bank Transfer,North,0.0,120.15,2025-07
O773027,C00172,P0005,5.0,28.61,2025-07-06,delivered,Paypal,Central,0.1,128.745,2025-07
O486175,C00441,P0026,1.0,48.56,2025-07-06,delivered,Bank Transfer,Central,0.1,43.704,2025-07
O914359,C00386,P0027,1.0,34.25,2025-07-06,delayed,Paypal,South,0.1,30.825,2025-07
O251988,C00052,P0029,5.0,27.55,2025-07-06,delayed,Credit Card,South,0.1,123.97500000000001,2025-07
O310886,C00256,P0029,4.0,40.76,2025-07-06,delayed,Bank Transfer,East,0.2,130.432,2025-07
O536236,C00192,P0019,3.0,32.04,2025-07-06,delivered,Paypal,Central,0.0,96.12,2025-07
O782603,C00259,P0016,4.0,43.95,2025-07-06,delayed,Credit Card,South,0.0,175.8,2025-07
O673771,C00126,P0022,3.0,44.95,2025-07-06,delivered,Credit Card,North,0.1,121.36500000000002,2025-07
O821870,C00371,P0011,5.0,39.49,2025-07-06,delayed,Credit Card,East,0.0,197.45000000000002,2025-07
O521398,C00419,P0010,4.0,40.27,2025-07-06,delivered,Bank Transfer,South,0.15,136.918,2025-07
O198927,C00139,P0006,1.0,29.26,2025-07-06,delayed,Credit Card,North,0.15,24.871000000000002,2025-07
O293081,C00449,P0025,3.0,26.26,2025-07-06,delivered,Credit Card,South,0.1,70.902,2025-07
O911659,C00152,P0001,4.0,9.6,2025-07-06,cancelled,Bank Transfer,North,0.05,36.48,2025-07
O312192,C00469,P0022,4.0,49.75,2025-07-06,delivered,Credit Card,West,0.05,189.04999999999998,2025-07
O494631,C00239,P0030,2.0,29.19,2025-07-06,delayed,Paypal,South,0.0,58.38,2025-07
O301929,C00221,P0025,3.0,18.29,2025-07-06,cancelled,Bank Transfer,Central,0.15,46.6395,2025-07
O101648,C00238,P0011,1.0,19.39,2025-07-06,delayed,Credit Card,South,0.0,19.39,2025-07
O753282,C00008,P0007,4.0,39.63,2025-07-06,cancelled,Bank Transfer,East,0.05,150.594,2025-07
O875628,C00479,P0011,3.0,12.08,2025-07-06,delivered,Bank Transfer,North,0.2,28.992000000000004,2025-07
O384964,C00476,P0017,3.0,34.16,2025-07-06,delayed,Credit Card,Central,0.15,87.10799999999999,2025-07
O796756,C00040,P0027,2.0,38.66,2025-07-06,delayed,Credit Card,South,0.05,73.454,2025-07
O291094,C00327,P0026,2.0,30.11,2025-07-06,delivered,Credit Card,South,0.0,60.22,2025-07
O532899,C00275,P0021,3.0,20.38,2025-07-06,delivered,Bank Transfer,East,0.05,58.083,2025-07
O909075,C00073,P0002,3.0,47.54,2025-07-06,cancelled,Credit Card,West,0.2,114.096,2025-07
O619650,C00318,P0029,2.0,26.67,2025-07-06,delayed,Credit Card,East,0.05,50.673,2025-07
O542524,C00044,P0014,5.0,49.51,2025-07-06,delayed,Credit Card,West,0.0,247.54999999999998,2025-07
O612638,C00377,P0016,4.0,20.8,2025-07-06,delayed,Paypal,North,0.0,83.2,2025-07
O136068,C00421,P0012,1.0,21.09,2025-07-06,cancelled,Credit Card,East,0.0,21.09,2025-07
O637085,C00010,P0020,1.0,15.18,2025-07-06,delayed,Credit Card,East,0.15,12.902999999999999,2025-07
O494343,C00445,P0012,5.0,44.15,2025-07-06,delivered,Credit Card,South,0.05,209.71249999999998,2025-07
O267004,C00041,P0004,5.0,33.0,2025-07-06,delivered,Paypal,East,0.0,165.0,2025-07
O828103,C00008,P0005,4.0,46.14,2025-07-06,cancelled,Credit Card,South,0.0,184.56,2025-07
O948197,C00028,P0030,2.0,41.45,2025-07-06,delayed,Paypal,East,0.1,74.61000000000001,2025-07
O537059,C00079,P0015,3.0,44.87,2025-07-06,delivered,Credit Card,South,0.1,121.14899999999999,2025-07
O536172,C00214,P0019,1.0,9.01,2025-07-06,cancelled,Credit Card,East,0.0,9.01,2025-07
O619476,C00229,P0014,4.0,10.79,2025-07-06,delayed,Paypal,West,0.1,38.844,2025-07
O207553,C00281,P0006,1.0,44.98,2025-07-06,delayed,Bank Transfer,East,0.05,42.730999999999995,2025-07
O803247,C00311,P0029,5.0,30.1,2025-07-06,delayed,Paypal,South,0.05,142.975,2025-07
O614893,C00064,P0011,4.0,22.73,2025-07-06,delivered,Paypal,North,0.05,86.374,2025-07
O658279,C00313,P0002,2.0,28.15,2025-07-06,delivered,Paypal,West,0.0,56.3,2025-07
O283531,C00208,P0012,4.0,34.66,2025-07-06,delivered,Bank Transfer,East,0.1,124.776,2025-07
O391107,C00072,P0010,2.0,14.81,2025-07-06,delayed,Credit Card,Central,0.0,29.62,2025-07
O621260,C00426,P0022,5.0,15.65,2025-07-06,delivered,Credit Card,East,0.2,62.6,2025-07
O512253,C00308,P0018,3.0,40.41,2025-07-06,delivered,Credit Card,East,0.2,96.984,2025-07
O288567,C00177,P0029,1.0,21.22,2025-07-06,cancelled,Bank Transfer,West,0.15,18.037,2025-07
O515824,C00383,P0024,2.0,32.18,2025-07-06,delivered,Paypal,East,0.0,64.36,2025-07
O773319,C00481,P0018,3.0,35.97,2025-07-06,cancelled,Credit Card,South,0.05,102.5145,2025-07
O449151,C00450,P0016,5.0,22.62,2025-07-06,cancelled,Credit Card,Central,0.15,96.135,2025-07
O822528,C00102,P0021,1.0,49.84,2025-07-06,delayed,Bank Transfer,West,0.15,42.364000000000004,2025-07
O634569,C00428,P0014,2.0,38.37,2025-07-06,delayed,Credit Card,North,0.0,76.74,2025-07
O486184,C00353,P0020,1.0,41.22,2025-07-06,delivered,Paypal,East,0.2,32.976,2025-07
O140042,C00475,P0002,1.0,42.6,2025-07-06,delayed,Bank Transfer,Central,0.1,38.34,2025-07
O652283,C00020,P0003,4.0,14.4,2025-07-06,delayed,Paypal,Central,0.0,57.6,2025-07
O737500,C00443,P0014,5.0,38.44,2025-07-06,cancelled,Credit Card,South,0.0,192.2,2025-07
O573673,C00260,P0019,4.0,16.07,2025-07-06,delivered,Bank Transfer,Central,0.2,51.42400000000001,2025-07
O808829,C00313,P0002,1.0,21.72,2025-07-06,cancelled,Credit Card,West,0.05,20.633999999999997,2025-07
O209530,C00438,P0007,2.0,37.88,2025-07-06,delayed,Bank Transfer,West,0.15,64.396,2025-07
O960644,C00225,P0019,2.0,39.02,2025-07-06,delayed,Credit Card,North,0.0,78.04,2025-07
O302611,C00394,P0009,2.0,32.58,2025-07-06,delivered,Credit Card,Central,0.05,61.901999999999994,2025-07
O570855,C00245,P0008,2.0,15.18,2025-07-06,cancelled,Credit Card,West,0.2,24.288,2025-07
O725272,C00063,P0012,2.0,10.16,2025-07-06,delayed,Paypal,West,0.1,18.288,2025-07
O766853,C00431,P0030,5.0,49.66,2025-07-06,delivered,Credit Card,North,0.0,248.29999999999998,2025-07
O386119,C00256,P0008,2.0,9.47,2025-07-06,delivered,Credit Card,North,0.15,16.099,2025-07
O216896,C00413,P0001,5.0,49.41,2025-07-06,delivered,Credit Card,South,0.1,222.345,2025-07
O479932,C00382,P0027,4.0,48.65,2025-07-06,delayed,Credit Card,West,0.15,165.41,2025-07
O927428,C00228,P0011,4.0,44.52,2025-07-06,delivered,Paypal,East,0.0,178.08,2025-07
O741164,C00143,P0001,3.0,41.52,2025-07-06,delivered,Bank Transfer,East,0.0,124.56,2025-07
O372036,C00472,P0007,5.0,32.51,2025-07-06,delayed,Credit Card,West,0.05,154.42249999999999,2025-07
O190070,C00018,P0002,5.0,16.79,2025-07-06,delivered,Paypal,South,0.0,83.94999999999999,2025-07
O229936,C00437,P0027,2.0,20.82,2025-07-06,delayed,Paypal,North,0.2,33.312000000000005,2025-07
O967591,C00224,P0006,3.0,43.01,2025-07-06,delivered,Paypal,West,0.0,129.03,2025-07
O863622,C00111,P0030,4.0,23.39,2025-07-06,delayed,Bank Transfer,West,0.1,84.20400000000001,2025-07
O544736,C00369,P0013,5.0,21.96,2025-07-06,delivered,Credit Card,Central,0.2,87.84000000000002,2025-07
O515400,C00103,P0024,4.0,44.15,2025-07-06,delivered,Paypal,East,0.15,150.10999999999999,2025-07
O582151,C00493,P0025,1.0,30.19,2025-07-06,delayed,Credit Card,South,0.0,30.19,2025-07
O291427,C00323,P0016,1.0,17.83,2025-07-06,delayed,Paypal,North,0.0,17.83,2025-07
O333267,C00304,P0017,2.0,33.89,2025-07-06,delayed,Bank Transfer,Central,0.1,61.002,2025-07
O178453,C00473,P0008,5.0,32.92,2025-07-06,delayed,Paypal,South,0.0,164.60000000000002,2025-07
O187900,C00115,P0003,2.0,40.24,2025-07-06,delayed,Credit Card,East,0.1,72.432,2025-07
O474137,C00294,P0011,5.0,8.49,2025-07-06,delayed,Bank Transfer,South,0.0,42.45,2025-07
O885631,C00192,P0006,5.0,39.56,2025-07-06,delivered,Credit Card,South,0.0,197.8,2025-07
O102812,C00253,P0006,4.0,32.3,2025-07-06,delayed,Credit Card,South,0.15,109.82,2025-07
O482836,C00469,P0013,2.0,41.1,2025-07-06,delivered,Credit Card,North,0.1,73.98,2025-07
O428722,C00140,P0007,5.0,19.94,2025-07-06,delivered,Bank Transfer,North,0.15,84.745,2025-07
O515257,C00441,P0013,3.0,11.13,2025-07-06,delayed,Credit Card,West,0.0,33.39,2025-07
O169645,C00449,P0003,2.0,13.32,2025-07-06,delivered,Credit Card,West,0.1,23.976000000000003,2025-07
O729478,C00284,P0001,1.0,23.24,2025-07-06,delivered,Bank Transfer,South,0.0,23.24,2025-07
O231230,C00358,P0017,3.0,25.67,2025-07-06,delayed,Bank Transfer,West,0.1,69.30900000000001,2025-07
O534353,C00198,P0013,4.0,29.21,2025-07-06,delayed,Bank Transfer,South,0.15,99.31400000000001,2025-07
O636501,C00234,P0021,3.0,25.83,2025-07-06,delayed,Credit Card,North,0.05,73.6155,2025-07
O259057,C00233,P0013,3.0,25.26,2025-07-06,delayed,Paypal,East,0.2,60.624,2025-07
O131413,C00119,P0020,5.0,32.94,2025-07-06,delayed,Bank Transfer,North,0.0,164.7,2025-07
O544778,C00498,P0001,2.0,45.51,2025-07-06,cancelled,Bank Transfer,West,0.0,91.02,2025-07
O789755,C00330,P0013,2.0,11.44,2025-07-06,delivered,Paypal,South,0.05,21.735999999999997,2025-07
O415841,C00015,P0009,4.0,46.87,2025-07-06,delayed,Paypal,South,0.0,187.48,2025-07
O846865,C00191,P0027,4.0,47.47,2025-07-06,delivered,Bank Transfer,East,0.0,189.88,2025-07
O672067,C00060,P0025,1.0,11.43,2025-07-06,delayed,Credit Card,Central,0.05,10.8585,2025-07
O508175,C00440,P0008,2.0,47.33,2025-07-06,delivered,Credit Card,North,0.2,75.728,2025-07
O394184,C00296,P0006,3.0,27.33,2025-07-06,cancelled,Paypal,North,0.15,69.69149999999999,2025-07
O609836,C00297,P0013,2.0,35.57,2025-07-06,delayed,Credit Card,East,0.05,67.583,2025-07
O448033,C00276,P0026,2.0,27.52,2025-07-06,cancelled,Credit Card,West,0.0,55.04,2025-07
O463527,C00414,P0026,5.0,38.82,2025-07-06,delivered,Bank Transfer,East,0.0,194.1,2025-07
O688564,C00064,P0007,3.0,47.27,2025-07-06,delayed,Paypal,West,0.1,127.629,2025-07
O542189,C00254,P0019,2.0,11.68,2025-07-06,delayed,Credit Card,Central,0.15,19.855999999999998,2025-07
O600845,C00423,P0015,2.0,21.16,2025-07-06,delivered,Paypal,North,0.0,42.32,2025-07
O893072,C00127,P0028,4.0,47.02,2025-07-06,delivered,Bank Transfer,Central,0.0,188.08,2025-07
O545533,C00184,P0006,2.0,25.85,2025-07-06,delayed,Credit Card,South,0.0,51.7,2025-07
O502404,C00180,P0014,4.0,32.13,2025-07-06,delayed,Credit Card,West,0.2,102.81600000000002,2025-07
O864368,C00286,P0027,2.0,46.66,2025-07-06,delayed,Paypal,East,0.0,93.32,2025-07
O360765,C00358,P0021,3.0,46.79,2025-07-06,cancelled,Paypal,South,0.0,140.37,2025-07
O509053,C00319,P0017,5.0,11.11,2025-07-06,delivered,Bank Transfer,North,0.05,52.772499999999994,2025-07
O342273,C00411,P0030,4.0,27.27,2025-07-06,delivered,Paypal,Central,0.1,98.172,2025-07
O905284,C00324,P0007,2.0,36.55,2025-07-06,delayed,Paypal,East,0.2,58.48,2025-07
O871459,C00131,P0024,5.0,27.28,2025-07-06,delayed,Paypal,North,0.0,136.4,2025-07
O383252,C00496,P0017,4.0,27.08,2025-07-06,delayed,Credit Card,North,0.0,108.32,2025-07
O364299,C00067,P0020,2.0,13.06,2025-07-06,cancelled,Bank Transfer,North,0.2,20.896,2025-07
O110354,C00010,P0026,1.0,11.32,2025-07-06,delivered,Bank Transfer,South,0.15,9.622,2025-07
O341129,C00154,P0006,2.0,21.98,2025-07-06,cancelled,Credit Card,East,0.05,41.762,2025-07
O192178,C00259,P0018,5.0,9.66,2025-07-06,delivered,Paypal,South,0.0,48.3,2025-07
O516591,C00095,P0010,4.0,41.56,2025-07-06,delivered,Credit Card,East,0.15,141.304,2025-07
O884667,C00250,P0018,5.0,31.78,2025-07-06,delayed,Credit Card,South,0.05,150.955,2025-07
O484212,C00360,P0030,1.0,22.41,2025-07-06,delivered,Bank Transfer,North,0.2,17.928,2025-07
O977187,C00429,P0013,4.0,46.24,2025-07-06,delivered,Credit Card,North,0.15,157.216,2025-07
O975068,C00074,P0011,1.0,17.2,2025-07-06,delivered,Credit Card,Central,0.0,17.2,2025-07
O803932,C00094,P0003,3.0,23.27,2025-07-06,delayed,Bank Transfer,North,0.1,62.829,2025-07
O186024,C00161,P0012,2.0,34.01,2025-07-06,delayed,Credit Card,Central,0.0,68.02,2025-07
O186250,C00329,P0021,4.0,44.31,2025-07-06,delayed,Paypal,South,0.2,141.792,2025-07
O612237,C00407,P0010,2.0,40.65,2025-07-06,delivered,Bank Transfer,Central,0.2,65.04,2025-07
O253815,C00285,P0024,5.0,22.17,2025-07-06,delivered,Paypal,South,0.1,99.76500000000001,2025-07
O749429,C00335,P0027,5.0,10.11,2025-07-06,delivered,Paypal,Central,0.15,42.967499999999994,2025-07
O483354,C00329,P0029,3.0,40.29,2025-07-06,delayed,Paypal,East,0.0,120.87,2025-07
O180836,C00351,P0022,4.0,30.13,2025-07-06,delivered,Credit Card,South,0.2,96.416,2025-07
O419728,C00359,P0011,5.0,13.85,2025-07-06,delivered,Credit Card,Central,0.05,65.7875,2025-07
O116986,C00157,P0030,2.0,44.4,2025-07-06,delivered,Credit Card,West,0.05,84.36,2025-07
O139338,C00104,P0010,3.0,40.22,2025-07-06,delivered,Bank Transfer,South,0.0,120.66,2025-07
O689360,C00365,P0009,2.0,35.28,2025-07-06,cancelled,Paypal,Central,0.0,70.56,2025-07
O550663,C00095,P0028,2.0,44.9,2025-07-06,delivered,Paypal,East,0.05,85.30999999999999,2025-07
O455530,C00113,P0005,5.0,41.73,2025-07-06,delayed,Paypal,East,0.05,198.21749999999997,2025-07
O269928,C00455,P0027,2.0,20.45,2025-07-06,delayed,Bank Transfer,South,0.05,38.855,2025-07
O595368,C00123,P0022,2.0,43.88,2025-07-06,delivered,Credit Card,North,0.1,78.98400000000001,2025-07
O729784,C00162,P0001,2.0,22.06,2025-07-06,cancelled,Bank Transfer,West,0.1,39.708,2025-07
O529240,C00245,P0025,1.0,23.81,2025-07-06,delivered,Bank Transfer,North,0.1,21.429,2025-07
O539949,C00343,P0028,5.0,13.47,2025-07-06,delayed,Bank Transfer,North,0.15,57.2475,2025-07
O820049,C00350,P0018,1.0,42.78,2025-07-06,delayed,Credit Card,South,0.1,38.502,2025-07
O164680,C00074,P0029,1.0,8.79,2025-07-06,delivered,Paypal,Central,0.0,8.79,2025-07
O747332,C00025,P0001,3.0,17.87,2025-07-06,delayed,Credit Card,East,0.05,50.9295,2025-07
O267737,C00318,P0012,1.0,20.63,2025-07-06,cancelled,Credit Card,Central,0.0,20.63,2025-07
O348086,C00239,P0026,2.0,24.86,2025-07-06,delivered,Paypal,East,0.0,49.72,2025-07
O877178,C00475,P0026,5.0,27.7,2025-07-06,delayed,Credit Card,South,0.0,138.5,2025-07
O236540,C00170,P0002,1.0,14.69,2025-07-06,delivered,Credit Card,West,0.2,11.752,2025-07
O550724,C00110,P0007,5.0,40.42,2025-07-06,delayed,Paypal,South,0.0,202.10000000000002,2025-07
O983859,C00500,P0005,3.0,49.27,2025-07-06,delayed,Bank Transfer,Central,0.05,140.4195,2025-07
O926312,C00145,P0029,4.0,39.0,2025-07-06,delivered,Credit Card,Central,0.1,140.4,2025-07
O939783,C00070,P0002,1.0,34.76,2025-07-06,delayed,Bank Transfer,North,0.15,29.545999999999996,2025-07
O741107,C00144,P0030,5.0,36.11,2025-07-06,delayed,Credit Card,West,0.15,153.4675,2025-07
O706270,C00258,P0015,5.0,27.29,2025-07-06,delayed,Paypal,East,0.2,109.16,2025-07
O155881,C00360,P0002,5.0,41.49,2025-07-06,delayed,Paypal,South,0.2,165.96000000000004,2025-07
O444543,C00492,P0017,2.0,15.3,2025-07-06,delivered,Credit Card,North,0.2,24.480000000000004,2025-07
O936729,C00228,P0017,3.0,18.82,2025-07-06,delivered,Credit Card,North,0.0,56.46,2025-07
O609242,C00091,P0028,3.0,26.96,2025-07-06,delivered,Credit Card,East,0.1,72.792,2025-07
O101570,C00265,P0026,5.0,19.4,2025-07-06,delivered,Paypal,West,0.1,87.3,2025-07
O638902,C00190,P0017,4.0,41.12,2025-07-06,delayed,Credit Card,North,0.1,148.03199999999998,2025-07
O635788,C00396,P0014,1.0,13.73,2025-07-06,delivered,Credit Card,South,0.0,13.73,2025-07
O419116,C00027,P0005,2.0,49.57,2025-07-06,delayed,Credit Card,East,0.15,84.26899999999999,2025-07
O891037,C00002,P0014,3.0,28.65,2025-07-06,delayed,Credit Card,Central,0.05,81.65249999999999,2025-07
O952010,C00175,P0005,3.0,45.92,2025-07-06,delivered,Credit Card,West,0.05,130.87199999999999,2025-07
O129054,C00103,P0011,4.0,44.42,2025-07-06,cancelled,Credit Card,South,0.0,177.68,2025-07
O685654,C00256,P0006,4.0,29.38,2025-07-06,delivered,Credit Card,East,0.0,117.52,2025-07
O904574,C00373,P0024,5.0,18.12,2025-07-06,cancelled,Credit Card,South,0.05,86.07000000000001,2025-07
O790157,C00209,P0023,1.0,44.14,2025-07-06,delayed,Bank Transfer,East,0.05,41.933,2025-07
O161553,C00113,P0022,1.0,37.43,2025-07-06,delayed,Credit Card,Central,0.1,33.687,2025-07
O196076,C00272,P0015,4.0,27.96,2025-07-06,cancelled,Bank Transfer,South,0.0,111.84,2025-07
O206645,C00319,P0015,5.0,29.62,2025-07-06,cancelled,Paypal,South,0.05,140.695,2025-07
O661203,C00336,P0020,3.0,26.26,2025-07-06,delivered,Paypal,East,0.0,78.78,2025-07
O489060,C00327,P0021,1.0,24.68,2025-07-06,delayed,Credit Card,North,0.1,22.212,2025-07
